Abnormality of the breast	HP:0000769
Acute myelogenous leukaemia	None
Acute myelocytic leukemia	None
Acute myeloid leukemia	None
Acute myeloblastic leukemia	None
Acute myeloblastic leukaemia	None
Acute myelocytic leukaemia	None
AML	None
Acute myeloid leukaemia	None
IL-7 low in blood	None
Reduced circulating interleukin 7 concentration	None
Agranulocytosis	None
Reduced circulating interleukin 22 concentration	None
Inflammatory abnormality of the skin	None
Skin inflammation	None
Inflammatory skin disease	None
Abnormal tendency to infections of the skin	None
Dermatitis	None
Multiple small spleens	None
Polysplenia	None
Accessory spleens	None
Multiple accessory spleens	None
Anti-tTG antibody positivity	None
Anti-tissue transglutaminase antibody positivity	None
Pericardial lymphangiectasia	None
Recurrent deep organ abscess formation	None
Dysgammaglobulinemia	None
Cheekbone rash	None
Butterfly rash	None
Malar rash	None
Anti-immunoglobulin-like cell adhesion molecule 5 antibody	None
Anti-Iglon5 antibody	None
Low white blood cell count	None
Leukopenia	None
Decreased blood leukocyte number	None
Chronic decreased IgG4 in blood	None
Chronic decreased circulating IgG4	None
Anti-GD1a IgM antibody positivity	None
Decreased proportion of CD4-positive helper T cells	None
Abnormality of CD4+ T cells	None
CD4+ T-cell lymphopenia	None
CD4 T cell lymphopenia	None
Cytokine storm	None
Hypercytokinemia	None
Absence of CD8+ T cells	None
Absence of CD8-positive T cells	None
Recurrent bacterial URI	None
Recurrent bacterial upper respiratory tract infections	None
Juvenile myelomonocytic leukaemia	None
Juvenile myelomonocytic leukemia	None
Anti-thyrotropin receptor antibody	None
Abnormality of neutrophils	None
Abnormality of neutrophil	None
Abnormality of polymorphonuclear neutrophils	None
Anti-aminoacyl-tRNA synthetase antibody positivity	None
Anti-contactin-1 antibody positivity	None
Anti-CNTN1 antibody positivity	None
Immunologic hypersensitivity	None
Abnormal L-selectin shedding	None
Palmoplantar pustules	None
Palmoplantar pustulosis	None
Pustulosis palmaris et plantaris	None
Pustulosis of palms and soles	None
Anti-HLA-B IgG1 antibody positivity	None
Abnormal proportion of gammadelta T cells	None
Abnormal proportion of gamma-delta T-lymphocytes	None
Abnormal proportion of gamma-delta T cells	None
Abnormal proprotion of gamma-delta T lymphocytes	None
Extrapulmonary tuberculosis	None
Extrapulmonary TB	None
Abnormal T-cell activation	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T lymphocyte activation	None
Increased basophil count	None
Basophilia	None
Intestinal lymphangiectasia	None
Recurrent upper respiratory infections	None
Recurrent upper respiratory and lower respiratory infections	None
Upper respiratory tract infections, recurrent	None
Frequent upper respiratory tract infections	None
Recurrent upper respiratory infection	None
Recurrent URI	None
Recurrent colds	None
Frequent upper respiratory infections	None
Upper respiratory tract infections	None
Recurrent upper respiratory tract infections	None
Latex allergy	None
Candida overgrowth syndrome	None
Chronic intestinal candidiasis	None
Enlargment of tonsils	None
tonsils large/hypertrophy	None
Tonsillar hypertrophy	None
Enlarged tonsils	None
Impaired lymphocyte transformation with phytohemagglutinin	None
Transient decreased circulating total IgG	None
Abnormal proportion of memory B cells	None
Anti-tyrosine phosphatase region of islet antigen-2 antibody positivity	None
Anti-PTPA antibody positivity	None
Abnormal CD69 upregulation upon TCR activation	None
Recurrent interdigital mycosis	None
Recurrent interdigital tinea	None
Chronic neutropenia	None
Helicobacter pylori infection	None
Abnormal spleen physiology	None
Partial IgA deficiency	None
Anti-carbonic anhydrase-related protein VIII antibody	None
Anti CARPVIII antibody	None
Anti-CARP VIII antibody	None
Recurrent infections due to aspiration	None
Necrotizing enterocolitis	None
Enlarged liver and spleen	None
Hepatosplenomegaly	None
Anti-H3-H4 antibody positivity	None
Anti-side-chain cleavage enzyme antibody positivity	None
Anti-P450scc	None
Decreased proportion of effector memory CD8-positive, alpha-beta T cells	None
Abnormality of cytokine secretion	None
Increased circulating band form neutrophils	None
Increased circulating band cell count	None
Left shift	None
Oligoclonal elevation of circulating IgG	None
Recurrent viral pneumonia	None
Anti-GABAA R antibody	None
Anti-GABA(A)R antibody	None
Anti-gamma amino butyric acid type A receptors antibody	None
Brain abscess	None
Orange coloured tonsils	None
Tonsils with orange deposits	None
Orange tonsils	None
Orange discolored tonsils	None
Orange discoloured tonsils	None
Orange colored tonsils	None
Sclerosing cholangitis	None
Fibrous cholangitis	None
Abnormal circulating interleukin 17A concentration	None
Anti-neutrophil elastase antibody positivity	None
Newborn gammaglobulin deficiency	None
Transient hypogammaglobulinemia of infancy	None
Recurrent bacterial infections	None
Prone to bacterial infection	None
Bacterial infections, recurrent	None
Recurrent pyogenic infections	None
Frequent bacterial infections	None
Frequent pyogenic infections	None
Recurrent major bacterial infections	None
Susceptibility to pyogenic infection	None
Increased susceptibility to bacterial infections	None
Splenic cyst	None
Cyst on spleen	None
Anti-contactin-associated protein 1 antibody positivity	None
Anti-CASPR1 antibody positivity	None
Opportunistic viral infection	None
Complete or near-complete absence of specific antibody response to tetanus vaccine	None
Anti-GABA(B)R antibody	None
Anti-gamma-aminobutyric acid B receptor antibody	None
Anti-titin antibody positivity	None
Anti-RyR antibody	None
Anti-ryanodine receptor antibody	None
Anti-laminin antibody positivity	None
Multifocal splenic abscess	None
Multilocular splenic abscess	None
Anti-angiotensin-converting enzyme 2 antibody positivity	None
Anti-ACE2 antibody positivity	None
Dysfunctional alternative complement pathway	None
Increased IgG level	None
Increased total IgG in blood	None
Increased circulating IgG level	None
Increased levels of IgG	None
Anti-granulocyte-macrophage colony stimulating factor antibody positivity	None
Anti-GM-CSF antibody positivity	None
Foot osteomyelitis	None
Foot bone infection	None
Aspiration pneumonia	None
Increased proportion of exhausted T cells	None
Abnormal mast cell morphology	None
Abnormality of mast cells	None
Abnormality of mastocytes	None
Anti-B23 antibody positivity	None
Secretory IgA deficiency	None
Panhypogammaglobulinaemia	None
Panypogammaglobulinemia	None
Panhypogammaglobulinemia	None
Abnormal circulating IgE level	None
Abnormal IgE level in blood	None
Anti-PDGFR antibody positivity	None
Anti-platelet derived growth factor receptor	None
Anti-LABD97 antibody positivity	None
Recurrent pancreatitis	None
Recurring pancreatitis	None
Recurring pancreas inflammation	None
Cerebral granulomatosis	None
Transient decreased circulating IgA	None
Anti-inositol 1,4,5-trisphosphate receptor type 1 antibody	None
Anti-ITPR1 antibody	None
E coli infections, recurrent	None
E coli infections	None
Recurrent E. coli infections	None
Hashimoto's thyroiditis	None
Hashimoto thyroiditis	None
Chronic lymphocytic thyroiditis	None
IL-4 high in blood	None
Increased circulating interleukin 4 concentration	None
Class IV lupus nephritis	None
Diffuse lupus nephritis	None
Thymic hyperplasia	None
Thymus hyperplasia	None
Enlarged thymus	None
Deep dermatophytosis	None
Decreased proportion of CD8+ T cells	None
CD8+ T-cell lymphopenia	None
Decreased proportion of CD8-positive, alpha-beta T cells	None
Decreased proportion of CD8-positive T cells	None
Bladder stones	None
Elevated urinary N-butyrylglycine	None
Abnormal vagina morphology	None
Vaginal malformation	None
Elevated urinary N,N-dimethylglycine level	None
Kidney function issue	None
Abnormal renal physiology	None
Renal functional abnormality	None
Abnormal renal function	None
Abnormality of renal physiology	None
Abnormal kidney function	None
Elevated urinary non-proteinogenic amino acid level	None
Increased urinary non-proteinogenic amino acid level	None
Epididymal neoplasm	None
High N/C ratio of renal tubular epithelial cells	None
High renal tubular epithelial cell N/C ratio	None
Scrotal hyperpigmentation	None
Hyperpigmented scrotum	None
Increased pigmentation in scrotum	None
Hyperpigmentation of the scrotum	None
Cystic ovaries	None
Ovarian cystic abnormality	None
Cystic abnormalities of the ovaries	None
Ovarian cyst	None
Accessory renal artery	None
Renal artery duplication	None
Double renal artery	None
Abnormality of female external genitalia	None
Abnormal female external genitalia	None
Renal tubular basement membrane denudation	None
Denuded tubular basement membrane	None
Menometrorrhagia	None
Collagenization of the urinary space	None
Urinary space collagenization	None
Arcuate vein intima/media crystal accumulation	None
Endoarterial hypercellularity within arterioles consisting of lymphocytes	None
Renal arteriole lymphocyte endoarterial hypercellularity	None
Abnormal medullary peritubular capillary lumen morphology	None
Aciduria	None
Acidic urine	None
Glandular hypospadias	None
Abnormal male urethral meatus morphology	None
Blue urine	None
Generalised distal tubular acidosis	None
Generalized distal tubular acidosis	None
Low urine chloride levels	None
Decreased urinary chloride	None
Hypochloriduria	None
Abnormal renal calyx morphology	None
Abnormality of renal calyx morphology	None
Decreased renal parenchymal thickness	None
Vulvar adenocarcinoma	None
Medication crystalluria	None
Impaired renal tubular reabsorption of bicarbonate	None
Increased urinary galactose level	None
Galactosuria	None
Abnormal urine carbohydrate level	None
Abnormal sperm principal piece morphology	None
Leucine crystalluria	None
Abnormality of the testis size	None
Medial hypertrophy within arcuate veins	None
Arcuate vein medial hypertrophy	None
Small-head sperm	None
Microcephalic sperm head	None
Hyperuricosuria	None
Increased urinary urate	None
High urine uric acid level	None
Renal intratubular casts	None
Tubular casts	None
Abnormal urine carboxylic acid level	None
Cervical erosion	None
Cervical ectopy	None
Cervical ectropion	None
Absent uterus	None
uterus absent	None
Aplasia of the uterus	None
Increased genital pigmentation	None
Hyperpigmented genitalia	None
Penile melanosis	None
Bifid penis	None
Penile duplication	None
Diphallia	None
Abnormality of the uterus	None
Uterine abnormalities	None
Uterine malformations	None
Arcuate artery intraluminal thrombi	None
Intraluminal thrombi within arcuate arterial lumen	None
Ureterovesical stenosis	None
Selective proximal tubular damage	None
Proximal renal tubule defect	None
Proximal renal tubulopathy	None
Proximal tubule dysfunction	None
Proximal tubulopathy	None
Proximal tubular defect	None
Interlobular vein medial atrophy	None
Medial atrophy within interlobular veins	None
Functional abnormality of male internal genitalia	None
Medium chain dicarboxylic aciduria	None
Elevated urinary homovanillic acid	None
Increased urinary homovanillic acid	None
Abnormal urinary 2-oxoglutarate level	None
Abnormal urine alpha-ketoglutarate concentration	None
Abnormality of urine alpha ketoglutarate concentration	None
Midshaft hypospadias	None
Nephrotic range proteinuria	None
Renal arteriole intima/media crystal accumulation	None
Accumulated crystals within renal arteriolar intima/media	None
Cervical insufficiency	None
Incompetent cervix	None
Epididymis enlarged	None
Enlarged epididymis	None
Stress urinary incontinence	None
Renotubular dysgenesis	None
Renal tubular dysgenesis	None
Intraluminal thrombi within interlobular veins	None
Global proximal tubulopathy	None
Urinary lipid excretion	None
Lipiduria	None
Pyelonephritis	None
Nephritis	None
Kidney inflammation	None
Rectourethral fistula	None
Urethrorectal fistula	None
Intrarenal reflux	None
Hypermagnesiuria	None
Bartholin gland carcinoma	None
Uric acid stones	None
Uric acid urolithiasis	None
Uric acid nephrolithiasis	None
Renal tubular acidosis, type I	None
Distal renal tubular acidosis	None
Glomerular hyalinosis at the tubular pole	None
Abnormal arcuate artery intima/media morphology	None
Abnormalities of the arcuate arterial intima/media	None
Polyp of the ureter	None
Ureter polyp	None
Ureteral polyp	None
Bilateral renal dysplasia	None
Hyperchloriduria	None
Increased urinary chloride	None
Small penis	None
Micropenis	None
Short penis	None
Abnormal ureter morphology	None
T-shaped uterus	None
Elevated urinary homogentisic acid	None
Glomerular lipoprotein thrombus	None
Bulbar urethral stricture	None
